bond_girl_name,actress_age,film_title,film_release_year,bond_actor,bond_actor_age,director_name,box_office_actual_$,box_office_adjusted_2005_$,budget_actual_$,budget_adjusted_2005_$,character_dies_in_film,character_sleeps_with_bond,role_size,spy_intelligence_op
Ursula Andress,26,Dr. No,1962,Sean Connery,32,Terence Young,59.5,448.8,1.1,7,0,1,major,0
Zena Marshall,36,Dr. No,1962,Sean Connery,32,Terence Young,59.5,448.8,1.1,7,0,1,minor,1
Eunice Gayson,35,From Russia with Love,1963,Sean Connery,33,Terence Young,78.9,543.8,2,12.6,0,1,minor,0
Daniela Bianchi,21,From Russia with Love,1963,Sean Connery,33,Terence Young,78.9,543.8,2,12.6,0,1,major,0
Martine Beswick,24,Thunderball,1965,Sean Connery,35,Terence Young,141.2,848.1,6.8,41.9,1,0,minor,1
Aliza Gur,23,From Russia with Love,1963,Sean Connery,33,Terence Young,78.9,543.8,2,12.6,0,1,minor,0
Honor Blackman,39,Goldfinger,1964,Sean Connery,34,Guy Hamilton,124.9,820.4,3,18.6,0,1,major,0
Shirley Eaton,27,Goldfinger,1964,Sean Connery,34,Guy Hamilton,124.9,820.4,3,18.6,1,1,minor,0
Tania Mallet,23,Goldfinger,1964,Sean Connery,34,Guy Hamilton,124.9,820.4,3,18.6,1,0,minor,0
Nadja Regin,33,Goldfinger,1964,Sean Connery,34,Guy Hamilton,124.9,820.4,3,18.6,0,0,minor,0
Margaret Nolan,21,Goldfinger,1964,Sean Connery,34,Guy Hamilton,124.9,820.4,3,18.6,0,0,minor,0
Claudine Auger,24,Thunderball,1965,Sean Connery,35,Terence Young,141.2,848.1,6.8,41.9,0,1,major,0
Luciana Paluzzi,28,Thunderball,1965,Sean Connery,35,Terence Young,141.2,848.1,6.8,41.9,1,1,minor,0
Molly Peters,23,Thunderball,1965,Sean Connery,35,Terence Young,141.2,848.1,6.8,41.9,0,1,minor,0
Maryse Guy Mitsouko,22,Thunderball,1965,Sean Connery,35,Terence Young,141.2,848.1,6.8,41.9,0,0,minor,1
Mie Hama,24,You Only Live Twice,1967,Sean Connery,37,Lewis Gilbert,111.6,514.2,10.3,59.9,0,1,major,0
Akiko Wakabayashi,28,You Only Live Twice,1967,Sean Connery,37,Lewis Gilbert,111.6,514.2,10.3,59.9,1,1,major,1
Tsai Chin,31,You Only Live Twice,1967,Sean Connery,37,Lewis Gilbert,111.6,514.2,10.3,59.9,0,1,minor,1
Karin Dor,29,You Only Live Twice,1967,Sean Connery,37,Lewis Gilbert,111.6,514.2,10.3,59.9,1,1,major,0
Diana Rigg,31,On Her Majesty's Secret Service,1969,George Lazenby,30,Peter R. Hunt,64.6,291.5,7,37.3,1,1,major,0
Angela Scoular,24,On Her Majesty's Secret Service,1969,George Lazenby,30,Peter R. Hunt,64.6,291.5,7,37.3,0,1,minor,0
Catherine Schell,25,On Her Majesty's Secret Service,1969,George Lazenby,30,Peter R. Hunt,64.6,291.5,7,37.3,0,1,minor,0
Jill St John,31,Diamonds Are Forever,1971,Sean Connery,41,Guy Hamilton,116,442.5,7.2,34.7,0,1,major,0
Lana Wood,25,Diamonds Are Forever,1971,Sean Connery,41,Guy Hamilton,116,442.5,7.2,34.7,1,0,minor,0
Trina Parks,24,Diamonds Are Forever,1971,Sean Connery,41,Guy Hamilton,116,442.5,7.2,34.7,0,0,minor,0
Denise Perrier,36,Diamonds Are Forever,1971,Sean Connery,41,Guy Hamilton,116,442.5,7.2,34.7,0,0,minor,0
Jane Seymour,22,Live and Let Die,1973,Roger Moore,46,Guy Hamilton,126.4,460.3,7,30.8,0,1,major,0
Gloria Hendry,24,Live and Let Die,1973,Roger Moore,46,Guy Hamilton,126.4,460.3,7,30.8,1,1,minor,1
Madeline Smith,24,Live and Let Die,1973,Roger Moore,46,Guy Hamilton,126.4,460.3,7,30.8,0,1,minor,1
Britt Ekland,32,The Man with the Golden Gun,1974,Roger Moore,47,Guy Hamilton,97.6,334,7,27.7,0,1,major,1
Maud Adams,29,The Man with the Golden Gun,1974,Roger Moore,47,Guy Hamilton,97.6,334,7,27.7,1,1,minor,0
Carmen du Sautoy,24,The Man with the Golden Gun,1974,Roger Moore,47,Guy Hamilton,97.6,334,7,27.7,0,0,minor,0
Barbara Bach,30,The Spy Who Loved Me,1977,Roger Moore,50,Lewis Gilbert,185.4,533,14,45.1,0,1,major,1
Caroline Munro,28,The Spy Who Loved Me,1977,Roger Moore,50,Lewis Gilbert,185.4,533,14,45.1,1,0,minor,0
Olga Bisera,33,The Spy Who Loved Me,1977,Roger Moore,50,Lewis Gilbert,185.4,533,14,45.1,1,0,minor,0
Lois Chiles,32,Moonraker,1979,Roger Moore,52,Lewis Gilbert,210.3,535,34,91.5,0,1,major,1
Corinne Cléry,29,Moonraker,1979,Roger Moore,52,Lewis Gilbert,210.3,535,34,91.5,1,1,minor,0
Emily Bolton,28,Moonraker,1979,Roger Moore,52,Lewis Gilbert,210.3,535,34,91.5,0,1,minor,1
Carole Bouquet,24,For Your Eyes Only,1981,Roger Moore,54,John Glen,194.9,449.4,28,60.2,0,1,major,0
Lynn Holly Johnson,23,For Your Eyes Only,1981,Roger Moore,54,John Glen,194.9,449.4,28,60.2,0,0,minor,0
Cassandra Harris,33,For Your Eyes Only,1981,Roger Moore,54,John Glen,194.9,449.4,28,60.2,1,1,minor,0
Maud Adams,38,Octopussy,1983,Roger Moore,56,John Glen,183.7,373.8,27.5,53.9,0,1,major,0
Kristina Wayborn,33,Octopussy,1983,Roger Moore,56,John Glen,183.7,373.8,27.5,53.9,0,1,major,0
Tanya Roberts,30,A View to a Kill,1985,Roger Moore,58,John Glen,152.4,275.2,30,54.5,0,1,major,0
Grace Jones,37,A View to a Kill,1985,Roger Moore,58,John Glen,152.4,275.2,30,54.5,1,0,major,0
Fiona Fullerton,29,A View to a Kill,1985,Roger Moore,58,John Glen,152.4,275.2,30,54.5,0,1,minor,1
Maryam d'Abo,27,The Living Daylights,1987,Timothy Dalton,41,John Glen,191.2,313.5,40,68.8,0,1,major,0
Carey Lowell,28,Licence to Kill,1989,Timothy Dalton,43,John Glen,156.2,250.9,36,56.7,0,1,major,1
Talisa Soto,22,Licence to Kill,1989,Timothy Dalton,43,John Glen,156.2,250.9,36,56.7,0,0,major,0
Izabella Scorupco,25,GoldenEye,1995,Pierce Brosnan,42,Martin Campbell,352,518.5,60,76.9,0,1,major,0
Famke Janssen,31,GoldenEye,1995,Pierce Brosnan,42,Martin Campbell,352,518.5,60,76.9,1,0,major,0
Serena Gordon,32,GoldenEye,1995,Pierce Brosnan,42,Martin Campbell,352,518.5,60,76.9,0,1,minor,0
Michelle Yeoh,35,Tomorrow Never Dies,1997,Pierce Brosnan,44,Roger Spottiswoode,333,463.2,110,133.9,0,1,major,1
Teri Hatcher,33,Tomorrow Never Dies,1997,Pierce Brosnan,44,Roger Spottiswoode,333,463.2,110,133.9,1,1,minor,0
Cecilie Thomsen,23,Tomorrow Never Dies,1997,Pierce Brosnan,44,Roger Spottiswoode,333,463.2,110,133.9,0,1,minor,0
Denise Richards,28,The World Is Not Enough,1999,Pierce Brosnan,46,Michael Apted,361.8,439.5,135,158.3,0,1,major,0
Sophie Marceau,33,The World Is Not Enough,1999,Pierce Brosnan,46,Michael Apted,361.8,439.5,135,158.3,1,1,major,0
Serena Scott Thomas,38,The World Is Not Enough,1999,Pierce Brosnan,46,Michael Apted,361.8,439.5,135,158.3,0,1,minor,0
Halle Berry,36,Die Another Day,2002,Pierce Brosnan,49,Lee Tamahori,432,465.4,142,154.2,0,1,major,1
Rosamund Pike,23,Die Another Day,2002,Pierce Brosnan,49,Lee Tamahori,432,465.4,142,154.2,1,1,major,1
Rachel Grant,25,Die Another Day,2002,Pierce Brosnan,49,Lee Tamahori,432,465.4,142,154.2,0,0,minor,1
Eva Green,26,Casino Royale,2006,Daniel Craig,38,Martin Campbell,606,589.4,150,145.3,1,1,major,0
Catherina Murino,29,Casino Royale,2006,Daniel Craig,38,Martin Campbell,606,589.4,150,145.3,1,0,minor,0
Olga Kurylenko,29,Quantum of Solace,2008,Daniel Craig,40,Marc Forster,586.1,514.2,200,181.4,0,0,major,1
Gemma Arterton,22,Quantum of Solace,2008,Daniel Craig,40,Marc Forster,586.1,514.2,200,181.4,1,1,minor,1
Bérénice Marlohe,33,Skyfall,2012,Daniel Craig,44,Sam Mendes,1108.6,943.5,150.0–200.0,127.7–170.2,1,1,minor,0
Tonia Sotiropoulou,25,Skyfall,2012,Daniel Craig,44,Sam Mendes,1108.6,943.5,150.0–200.0,127.7–170.2,0,1,minor,0
Monica Bellucci,51,Spectre,2015,Daniel Craig,47,Sam Mendes,880.7,725.5,245.0–250.0[b],201.8–205.9,0,1,minor,0
Léa Seydoux,30,Spectre,2015,Daniel Craig,47,Sam Mendes,880.7,725.5,245.0–250.0[b],201.8–205.9,0,1,major,0
Léa Seydoux,36,No Time to Die,2021,Daniel Craig,53,Cary Joji Fukunaga,525.7,396.8,250.0–301.0,188.7–226.4,0,1,major,0
Lashan Lynch,34,No Time to Die,2021,Daniel Craig,53,Cary Joji Fukunaga,525.7,396.8,250.0–301.0,188.7–226.4,0,0,major,1
Ana de Armas,33,No Time to Die,2021,Daniel Craig,53,Cary Joji Fukunaga,525.7,396.8,250.0–301.0,188.7–226.4,0,0,minor,1